mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
2310,6.066e-06,48.81,0.48810000000000003,0.48810000000000003,0.48810000000000003,signal_xsec.txt,parsed
2315,5.923e-06,49.17,0.4917,0.4917,0.4917,signal_xsec.txt,parsed
2320,5.783e-06,49.53,0.4953,0.4953,0.4953,signal_xsec.txt,parsed
2325,5.647e-06,49.89,0.4989,0.4989,0.4989,signal_xsec.txt,parsed
2330,5.514e-06,50.25,0.5025,0.5025,0.5025,signal_xsec.txt,parsed
2335,5.385e-06,50.62,0.5062,0.5062,0.5062,signal_xsec.txt,parsed
2340,5.258e-06,50.98,0.5097999999999999,0.5097999999999999,0.5097999999999999,signal_xsec.txt,parsed
2345,5.134e-06,51.35,0.5135000000000001,0.5135000000000001,0.5135000000000001,signal_xsec.txt,parsed
2350,5.014e-06,51.73,0.5173,0.5173,0.5173,signal_xsec.txt,parsed
2355,4.896e-06,52.1,0.521,0.521,0.521,signal_xsec.txt,parsed
2360,4.781e-06,52.48,0.5247999999999999,0.5247999999999999,0.5247999999999999,signal_xsec.txt,parsed
2365,4.669e-06,52.85,0.5285,0.5285,0.5285,signal_xsec.txt,parsed
2370,4.56e-06,53.23,0.5323,0.5323,0.5323,signal_xsec.txt,parsed
2375,4.453e-06,53.62,0.5362,0.5362,0.5362,signal_xsec.txt,parsed
2380,4.349e-06,54.0,0.54,0.54,0.54,signal_xsec.txt,parsed
2385,4.247e-06,54.39,0.5439,0.5439,0.5439,signal_xsec.txt,parsed
2390,4.148e-06,54.78,0.5478000000000001,0.5478000000000001,0.5478000000000001,signal_xsec.txt,parsed
2395,4.051e-06,55.17,0.5517,0.5517,0.5517,signal_xsec.txt,parsed
2400,3.957e-06,55.56,0.5556,0.5556,0.5556,signal_xsec.txt,parsed
2405,3.865e-06,55.96,0.5596,0.5596,0.5596,signal_xsec.txt,parsed
2410,3.775e-06,56.36,0.5636,0.5636,0.5636,signal_xsec.txt,parsed
2415,3.687e-06,56.76,0.5676,0.5676,0.5676,signal_xsec.txt,parsed
2420,3.601e-06,57.16,0.5716,0.5716,0.5716,signal_xsec.txt,parsed
2425,3.517e-06,57.56,0.5756,0.5756,0.5756,signal_xsec.txt,parsed
2430,3.436e-06,57.97,0.5797,0.5797,0.5797,signal_xsec.txt,parsed
2435,3.356e-06,58.38,0.5838,0.5838,0.5838,signal_xsec.txt,parsed
2440,3.278e-06,58.79,0.5879,0.5879,0.5879,signal_xsec.txt,parsed
2445,3.202e-06,59.2,0.5920000000000001,0.5920000000000001,0.5920000000000001,signal_xsec.txt,parsed
2450,3.128e-06,59.62,0.5962,0.5962,0.5962,signal_xsec.txt,parsed
2455,3.055e-06,60.04,0.6004,0.6004,0.6004,signal_xsec.txt,parsed
